id	filename	md5	size	state
739fe30a-4fae-4f4d-a360-3ab300a4848a	739fe30a-4fae-4f4d-a360-3ab300a4848a/52064107-3c37-45b1-aa6b-a14a98352f9d.rna_seq.augmented_star_gene_counts.tsv	471ddfc560463bfb4b70b40c18567a9f	4254739	validated
78805478-bf7a-4d7b-8c4f-15e334430efd	78805478-bf7a-4d7b-8c4f-15e334430efd/ed9b3b6b-c2c2-41a2-ac61-dd2cfbb321ba.rna_seq.augmented_star_gene_counts.tsv	952b64bcfd7f856f5d1bd19245986d5d	4241329	validated
78b9cc4c-a99b-4814-9538-3cf9515af75b	78b9cc4c-a99b-4814-9538-3cf9515af75b/16bd1ebb-5bf9-4839-99bd-5a4d3dcad7b8.rna_seq.augmented_star_gene_counts.tsv	d7bd044cb0033509c72aeba4cc14ee84	4240298	validated
7e0c78b6-4020-47b6-a8bf-46cf290c5c85	7e0c78b6-4020-47b6-a8bf-46cf290c5c85/ce9d6d3a-9ab8-4586-a587-3d4bf00445a5.rna_seq.augmented_star_gene_counts.tsv	7e8b36dbb9df8b651eca63f9a8510b40	4248824	validated
95668f0b-130d-44d4-94c0-ba7a4e7798e6	95668f0b-130d-44d4-94c0-ba7a4e7798e6/6365a756-2e65-42cb-be4f-1f726915ca94.rna_seq.augmented_star_gene_counts.tsv	41f027c2fe766d7623bb9dabedc19721	4250969	validated
9dc09c86-c728-4bd9-b2b6-2d9962dad662	9dc09c86-c728-4bd9-b2b6-2d9962dad662/d1f1743c-5fd9-4ae8-90c2-8c3e2d475d1b.rna_seq.augmented_star_gene_counts.tsv	24d42f590b663170a1f908a75917da90	4251380	validated
a39993c2-0b95-4df1-b501-b1a746633449	a39993c2-0b95-4df1-b501-b1a746633449/9b652843-9c30-4c21-8c39-ef9e21ec4ec6.rna_seq.augmented_star_gene_counts.tsv	d92427683e1835e45bac4259dc1510c9	4236119	validated
a6f9b537-d843-4181-9ba8-712c44986581	a6f9b537-d843-4181-9ba8-712c44986581/f3d3848c-9ff7-4e84-a35c-f6b6e3a57605.rna_seq.augmented_star_gene_counts.tsv	a3163eed4b38d4ad03f247ed41961b78	4251225	validated
a8fa9282-6695-477a-8202-73882cdfa8f7	a8fa9282-6695-477a-8202-73882cdfa8f7/77e4a7c3-f2cd-4b5e-8c18-bfa3ce91cf56.rna_seq.augmented_star_gene_counts.tsv	9f6066279c5b4ea21c6792af87bcecc1	4243328	validated
bbd09e9b-84ba-458f-a595-b03069b843dd	bbd09e9b-84ba-458f-a595-b03069b843dd/2100a159-27a6-47f2-a2f2-58f5343e88b0.rna_seq.augmented_star_gene_counts.tsv	9e7c5927530a08b7b71f8c7999aa97cc	4241021	validated
c4241ab5-95b7-4870-aaed-55541756c42f	c4241ab5-95b7-4870-aaed-55541756c42f/a2b214c2-a5d4-4ce6-b505-e1438027236d.rna_seq.augmented_star_gene_counts.tsv	e0a6ac72aa47e0bfb3ec2a44db045517	4242278	validated
c7db3ef0-0440-4fcf-a18b-c70b3f88e327	c7db3ef0-0440-4fcf-a18b-c70b3f88e327/fc801acd-4b1f-46e7-bc1e-47752fb08779.rna_seq.augmented_star_gene_counts.tsv	faa9024b8f05713be3354580a33d283e	4247125	validated
d5d23d6a-c141-442f-ac4f-714e46b8d9ef	d5d23d6a-c141-442f-ac4f-714e46b8d9ef/9907c264-961c-46b4-94a8-bf7e234621d8.rna_seq.augmented_star_gene_counts.tsv	288124eac80aedcedec4c3e4f1eed620	4242190	validated
d880fcce-ad8a-4402-911c-11129d2225df	d880fcce-ad8a-4402-911c-11129d2225df/d12c28eb-32c5-4523-af42-9ad130014a40.rna_seq.augmented_star_gene_counts.tsv	16c620398834300c13d5f7abb9583d3f	4248158	validated
da8c5f1e-a4e3-46bd-adb3-ce758e654983	da8c5f1e-a4e3-46bd-adb3-ce758e654983/c36f7911-13d2-4230-a5f5-e9c562d763bc.rna_seq.augmented_star_gene_counts.tsv	b947906d12c1401f39cc89ab90d37413	4230563	validated
de397789-9ff5-4cb0-be88-957477820714	de397789-9ff5-4cb0-be88-957477820714/e26295fd-369b-4cf0-98f3-939293cbe6e4.rna_seq.augmented_star_gene_counts.tsv	fd69dd33a057395e81ff6bfa94236f52	4240105	validated
e3569a42-412b-405d-a1ca-5c89b1ea36d0	e3569a42-412b-405d-a1ca-5c89b1ea36d0/f3c13192-fe4d-45c5-9d12-5294799bd7f8.rna_seq.augmented_star_gene_counts.tsv	19e7215287c8cfd2820ad66f3eff5fd8	4248356	validated
f24d6e88-634e-4d86-b993-76a40f1190d0	f24d6e88-634e-4d86-b993-76a40f1190d0/f201e2e9-dfb0-4a53-bd68-56f4e87604d3.rna_seq.augmented_star_gene_counts.tsv	9ca1c2f708ad9254dd6af87e538a512b	4252668	validated
f36e613e-af30-4b1c-aaf3-89540e05ddb1	f36e613e-af30-4b1c-aaf3-89540e05ddb1/281a89c1-e817-49d4-afa1-2894c2747919.rna_seq.augmented_star_gene_counts.tsv	aacb84ccf17c8f924e5afbd2c6bba7bb	4246121	validated
f45af277-1f94-4cdd-97d4-8ccdbd7ff18e	f45af277-1f94-4cdd-97d4-8ccdbd7ff18e/a41a8b37-2a35-487f-8a4d-ffa0f31b7839.rna_seq.augmented_star_gene_counts.tsv	cd083b8a8359c3c4b61918932440291a	4250718	validated
fad07753-c9c6-4eba-8f43-09740bff6d69	fad07753-c9c6-4eba-8f43-09740bff6d69/4e3fbf45-1a73-437b-8d85-29aa0c8ac6b0.rna_seq.augmented_star_gene_counts.tsv	5e5fe7699c7ffcd79fbbdf2dc129ca63	4237457	validated
fecd341d-a370-4092-be40-e07fc44500e5	fecd341d-a370-4092-be40-e07fc44500e5/fe00aecb-7b06-4e76-b999-99ee41ad20ea.rna_seq.augmented_star_gene_counts.tsv	2097e93dcd89252b32691a31397d39ce	4243672	validated
